asset_id,asset_name,asset_type,zone,install_date,age_years,expected_life_years,operating_hours,last_maintenance_date,days_since_maintenance,temp_deviation_c,vibration_mm_s,pressure_deviation_pct,health_score,status,predicted_days_to_maintenance
AST-021,Transformer 21,Transformer,Zone B - Ground Floor,2018-10-28,7.85,7.1,40149.9,2026-08-26,190,24.207040012043787,13.879532295783639,-7.29,27.3,Critical,4
AST-003,Cooling Tower 3,Cooling Tower,Zone B - Ground Floor,2021-10-30,4.84,7.2,26015.7,2026-07-24,218,20.06368293133387,14.262664594476922,-2.33,34.4,Critical,1
AST-037,Generator 37,Generator,Zone C - Rooftop,2022-06-06,4.24,5.0,21723.3,2026-08-03,131,16.49666957691153,14.257067021733555,3.13,40.9,At Risk,9
AST-009,Elevator 9,Elevator,Zone D - Floor 3,2021-03-15,5.47,8.1,32887.6,2026-08-19,114,26.115166769723302,11.257790298698403,-2.12,45.7,At Risk,12
AST-023,Elevator 23,Elevator,Zone B - Ground Floor,2022-08-30,4.01,7.9,23683.0,2026-06-17,188,12.04198894711294,11.387836786966789,1.37,49.3,At Risk,13
AST-002,Transformer 2,Transformer,Zone A - Basement,2018-10-26,7.85,6.2,55541.0,2026-03-14,171,1.61,1.43,-1.87,64.7,Watch,22
AST-039,Elevator 39,Elevator,Zone A - Basement,2018-10-30,7.84,9.0,27690.1,2026-04-09,145,-3.52,2.29,3.68,68.8,Watch,57
AST-016,Generator 16,Generator,Zone D - Floor 3,2019-04-22,7.37,7.4,45100.0,2026-06-19,74,-3.45,4.62,-0.46,69.5,Watch,32
AST-020,Boiler 20,Boiler,Zone F - Parking,2018-03-14,8.47,6.6,25272.6,2026-07-23,40,0.95,4.21,-1.05,70.2,Watch,28
AST-033,Fire Pump 33,Fire Pump,Zone A - Basement,2022-01-19,4.62,7.1,33275.9,2026-03-30,155,-2.24,2.42,-5.54,71.0,Watch,51
AST-047,Transformer 47,Transformer,Zone C - Rooftop,2021-05-06,5.33,5.4,35126.8,2026-07-22,41,4.99,4.38,-1.98,71.2,Watch,43
AST-028,Cooling Tower 28,Cooling Tower,Zone D - Floor 3,2020-12-25,5.69,8.0,23968.4,2026-03-28,157,1.03,3.07,-0.48,71.4,Watch,34
AST-026,Generator 26,Generator,Zone F - Parking,2021-10-03,4.92,7.4,17430.1,2026-06-07,86,0.41,4.83,-7.03,72.5,Watch,26
AST-031,Chiller 31,Chiller,Zone E - Floor 7,2018-08-27,8.02,6.2,35328.4,2026-08-11,21,-6.48,1.6,-0.24,72.9,Watch,35
AST-030,Air Handling Unit 30,Air Handling Unit,Zone D - Floor 3,2019-07-12,7.15,7.1,34174.7,2026-08-10,22,-1.02,5.04,4.15,73.0,Watch,36
AST-015,Water Pump 15,Water Pump,Zone E - Floor 7,2021-05-25,5.27,8.7,27910.2,2026-05-05,119,-4.27,2.47,-5.34,73.1,Watch,32
AST-011,HVAC Unit 11,HVAC Unit,Zone D - Floor 3,2018-05-30,8.26,8.6,38392.0,2026-06-27,66,-3.01,2.64,4.22,73.2,Watch,27
AST-024,Boiler 24,Boiler,Zone E - Floor 7,2023-04-19,3.37,7.8,24226.5,2026-04-22,132,-6.13,1.87,-1.65,75.6,Watch,52
AST-034,Cooling Tower 34,Cooling Tower,Zone D - Floor 3,2018-01-05,8.66,7.4,56858.3,2026-08-14,18,1.44,2.04,-5.48,75.7,Watch,42
AST-004,Boiler 4,Boiler,Zone F - Parking,2020-06-22,6.2,6.8,27910.8,2026-06-23,70,-0.84,2.51,2.52,75.8,Watch,25
AST-012,Fire Pump 12,Fire Pump,Zone E - Floor 7,2023-02-28,3.51,7.3,19682.4,2026-06-18,75,8.08,3.24,1.17,75.8,Watch,36
AST-038,Water Pump 38,Water Pump,Zone F - Parking,2022-02-24,4.52,6.3,20912.4,2026-05-14,110,0.07,0.9,10.27,76.1,Watch,59
AST-022,Cooling Tower 22,Cooling Tower,Zone D - Floor 3,2018-10-26,7.85,8.6,40946.7,2026-07-26,37,-1.56,3.78,0.51,76.3,Watch,20
AST-014,Cooling Tower 14,Cooling Tower,Zone A - Basement,2022-04-21,4.37,8.7,30237.8,2026-05-15,109,1.97,2.55,-3.36,77.4,Watch,25
AST-042,Generator 42,Generator,Zone F - Parking,2019-10-23,6.86,7.9,47408.6,2026-06-28,65,1.06,2.41,1.2,77.4,Watch,32
AST-017,Air Handling Unit 17,Air Handling Unit,Zone C - Rooftop,2020-12-12,5.72,8.5,19272.9,2026-08-05,27,-2.68,2.7,-11.55,77.7,Watch,20
AST-018,Boiler 18,Boiler,Zone F - Parking,2021-07-11,5.15,7.9,32654.0,2026-06-10,83,0.95,2.5,-4.56,77.7,Watch,41
AST-005,Air Handling Unit 5,Air Handling Unit,Zone C - Rooftop,2020-07-05,6.16,7.6,34426.6,2026-08-06,26,3.22,3.14,1.86,78.2,Watch,46
AST-019,Chiller 19,Chiller,Zone F - Parking,2021-03-27,5.44,6.9,39516.0,2026-08-22,10,3.95,2.78,-5.7,78.5,Watch,58
AST-041,Water Pump 41,Water Pump,Zone A - Basement,2020-11-22,5.78,8.4,18543.6,2026-05-22,102,-0.19,1.59,2.81,78.5,Watch,33
AST-007,Water Pump 7,Water Pump,Zone D - Floor 3,2019-07-19,7.13,8.0,41006.2,2026-08-24,8,5.57,2.4,-0.85,78.6,Watch,21
AST-036,HVAC Unit 36,HVAC Unit,Zone D - Floor 3,2022-06-01,4.25,6.5,30347.9,2026-07-22,41,-2.14,3.99,-0.86,78.7,Watch,39
AST-045,Cooling Tower 45,Cooling Tower,Zone D - Floor 3,2021-12-12,4.72,7.1,16724.3,2026-08-14,18,-7.33,2.05,4.98,78.9,Watch,27
AST-013,Fire Pump 13,Fire Pump,Zone E - Floor 7,2021-05-31,5.26,8.2,26493.7,2026-06-21,72,1.2,2.79,-1.72,79.0,Watch,30
AST-001,Fire Pump 1,Fire Pump,Zone B - Ground Floor,2021-03-29,5.43,8.6,29717.0,2026-06-18,75,1.76,2.05,3.57,79.2,Watch,55
AST-032,Chiller 32,Chiller,Zone B - Ground Floor,2021-12-26,4.68,5.7,24577.9,2026-08-15,17,1.57,2.86,4.18,79.4,Watch,37
AST-010,Air Handling Unit 10,Air Handling Unit,Zone B - Ground Floor,2021-12-24,4.69,7.0,26224.0,2026-06-26,67,1.48,2.24,1.88,79.7,Watch,59
AST-040,Generator 40,Generator,Zone A - Basement,2023-04-13,3.39,5.1,18186.8,2026-07-16,47,-4.67,1.33,-4.04,80.2,Healthy,91
AST-044,Cooling Tower 44,Cooling Tower,Zone C - Rooftop,2020-11-06,5.82,7.3,41942.2,2026-08-20,12,-4.06,2.71,-0.29,80.2,Healthy,112
AST-027,Transformer 27,Transformer,Zone D - Floor 3,2022-07-17,4.13,7.5,30032.8,2026-07-12,51,-2.58,3.21,-1.09,80.4,Healthy,81
AST-025,Cooling Tower 25,Cooling Tower,Zone D - Floor 3,2020-08-10,6.06,8.6,40011.0,2026-07-25,38,0.99,2.96,-1.45,80.7,Healthy,64
AST-008,Boiler 8,Boiler,Zone C - Rooftop,2022-07-06,4.16,7.3,14500.1,2026-07-27,36,2.89,2.52,3.98,81.4,Healthy,65
AST-048,Chiller 48,Chiller,Zone D - Floor 3,2021-04-07,5.41,8.5,36009.3,2026-08-23,9,-6.29,2.43,1.28,81.4,Healthy,100
